id;start_date;end_date;language
1;2020-06-01T07:26:13;2020-06-01T05:16:28;SPANISH
2;2020-05-31T12:16:24;2020-06-01T07:20:49;SPANISH
3;2020-06-01T03:11:43;2020-05-31T13:45:52;FRENCH
4;2020-05-31T18:29:14;2020-06-01T06:00:40;FRENCH
5;2020-06-01T03:59:32;2020-06-01T08:46:31;FRENCH
6;2020-05-31T21:51:53;2020-06-01T10:00:07;FRENCH
7;2020-05-31T23:37:13;2020-05-31T17:28:04;FRENCH
8;2020-05-31T22:33:26;2020-06-01T08:49:34;SPANISH
9;2020-05-31T21:14:35;2020-05-31T17:55:58;SPANISH
10;2020-06-01T05:26:39;2020-05-31T16:01:09;SPANISH
